,Close,Returns,ATR,StopLoss
2020-04-28,18865.900390625,-0.008198425597537029,594.8984375,1189.796875
2020-04-29,19171.44921875,0.01619582536738262,299.650390625,599.30078125
2020-04-30,19767.900390625,0.031111428513795447,771.55078125,1543.1015625
2020-05-04,18625.0,-0.05781597276598094,764.650390625,1529.30078125
2020-05-05,18512.0,-0.006067114093959769,649.849609375,1299.69921875
2020-05-06,18741.900390625,0.01241899257913781,406.44921875,812.8984375
2020-05-07,18432.400390625,-0.01651380028435201,842.25,1684.5
2020-05-08,18732.75,0.016294655227203192,429.349609375,858.69921875
2020-05-11,18914.900390625,0.009723633242583185,486.25,972.5
2020-05-12,19127.19921875,0.011223893530532436,815.5,1631.0
2020-05-13,19763.25,0.03325373328189585,867.5,1735.0
2020-05-14,19310.80078125,-0.022893462297446043,763.75,1527.5
2020-05-15,19180.5,-0.00674755970640617,752.05078125,1504.1015625
2020-05-18,18152.69921875,-0.053585713680560976,1239.44921875,2478.8984375
2020-05-19,18340.75,0.010359383967303515,745.0,1490.0
2020-05-20,19411.650390625,0.058389127523410966,1799.3984375,3598.796875
2020-05-21,19251.150390625,-0.008268230509525076,599.599609375,1199.19921875
2020-05-22,19910.25,0.0342368947310272,1276.75,2553.5
2020-05-26,20667.30078125,0.03802316802903016,1059.94921875,2119.8984375
2020-05-27,20477.55078125,-0.009181169907400144,600.0,1200.0
2020-05-28,20808.900390625,0.01618111525712318,902.548828125,1805.09765625
2020-05-29,20857.30078125,0.0023259465765335108,440.099609375,880.19921875
2020-06-01,21069.349609375,0.010166647657285699,609.19921875,1218.3984375
2020-06-02,21201.0,0.006248431634853224,387.349609375,774.69921875
2020-06-03,21630.099609375,0.02023959291424937,489.0,978.0
2020-06-04,21396.650390625,-0.010792794437655684,802.099609375,1604.19921875
2020-06-05,22089.599609375,0.032385873774598783,930.0,1860.0
2020-06-08,21180.900390625,-0.04113697100984759,1296.5,2593.0
2020-06-09,21009.80078125,-0.008078013975776566,676.19921875,1352.3984375
2020-06-10,21513.30078125,0.023965005915208115,461.201171875,922.40234375
2020-06-11,21251.19921875,-0.012183233301346075,443.5,887.0
2020-06-12,22392.650390625,0.053712318073226406,2437.25,4874.5
2020-06-15,22117.25,-0.012298695590777453,611.05078125,1222.1015625
2020-06-16,22111.30078125,-0.00026898546383480326,739.94921875,1479.8984375
2020-06-17,21635.400390625,-0.021522948619493,565.19921875,1130.3984375
2020-06-18,21866.099609375,0.01066304364997861,588.94921875,1177.8984375
2020-06-19,21678.94921875,-0.00855892884274434,363.55078125,727.1015625
2020-06-22,22017.599609375,0.015621162594545934,669.8984375,1339.796875
2020-06-23,22756.25,0.03354817980750657,893.099609375,1786.19921875
2020-06-24,22566.25,-0.00834935457291952,738.0,1476.0
2020-06-25,22068.80078125,-0.022043946989420027,730.099609375,1460.19921875
2020-06-26,22523.849609375,0.020619553941128466,836.599609375,1673.19921875
2020-06-29,22341.94921875,-0.008075901490182558,556.25,1112.5
2020-06-30,23051.05078125,0.03173857193735374,988.05078125,1976.1015625
2020-07-01,22663.5,-0.016812716475608114,698.19921875,1396.3984375
2020-07-02,22762.849609375,0.004383683428199614,439.0,878.0
2020-07-03,22872.650390625,0.0048236834638129,250.0,500.0
2020-07-06,23111.150390625,0.01042730055008212,364.25,728.5
2020-07-07,22824.099609375,-0.012420445386675416,431.650390625,863.30078125
2020-07-08,22439.80078125,-0.01683741460570687,704.05078125,1408.1015625
2020-07-09,22803.599609375,0.01621221291897479,534.80078125,1069.6015625
2020-07-10,22295.400390625,-0.02228592097105009,616.80078125,1233.6015625
2020-07-13,22311.19921875,0.0007086137879650511,377.849609375,755.69921875
2020-07-14,22085.75,-0.010104755756944472,684.3515625,1368.703125
2020-07-15,21843.25,-0.01097993049817192,524.0,1048.0
2020-07-16,21731.099609375,-0.005134327109061143,781.900390625,1563.80078125
2020-07-17,22269.94921875,0.024796242208679375,794.0,1588.0
2020-07-20,22266.099609375,-0.00017286116538417495,392.599609375,785.19921875
2020-07-21,22440.75,0.007843780172054338,549.849609375,1099.69921875
2020-07-22,21979.44921875,-0.020556388768200762,615.599609375,1231.19921875
2020-07-23,21568.150390625,-0.01871288147539807,628.44921875,1256.8984375
2020-07-24,21332.75,-0.010914259515147018,440.0,880.0
2020-07-27,21113.849609375,-0.010261236391229445,574.05078125,1148.1015625
2020-07-28,21915.75,0.03797982866511185,910.0,1820.0
2020-07-29,21743.650390625,-0.007852782103053735,576.0,1152.0
2020-07-30,21395.099609375,-0.01603000301183477,725.0,1450.0
2020-07-31,21711.150390625,0.01477211076463103,540.0,1080.0
2020-08-03,21747.25,0.0016627220909761764,374.05078125,748.1015625
2020-08-04,21593.75,-0.007058363701157644,615.048828125,1230.09765625
2020-08-05,22103.900390625,0.02362490955137475,698.900390625,1397.80078125
2020-08-06,21722.849609375,-0.017239074304352897,635.0,1270.0
2020-08-07,21910.099609375,0.008619955639668442,452.849609375,905.69921875
2020-08-10,22396.400390625,0.022195279342405172,610.44921875,1220.8984375
2020-08-11,21551.599609375,-0.037720382137998776,667.94921875,1335.8984375
2020-08-12,21378.900390625,-0.008013290051791633,364.69921875,729.3984375
2020-08-13,21237.0,-0.006637403609739745,541.1484375,1082.296875
2020-08-14,21458.25,0.010418138155106726,498.44921875,996.8984375
2020-08-17,21512.75,0.0025398156886045076,248.900390625,497.80078125
2020-08-18,21914.30078125,0.018665711322355394,437.25,874.5
2020-08-19,22081.30078125,0.007620594499774702,323.25,646.5
2020-08-20,22080.19921875,-4.988666704519584e-05,448.25,896.5
2020-08-21,22317.75,0.010758543385255281,367.5,735.0
2020-08-24,22210.75,-0.004794390115490987,387.0,774.0
2020-08-25,21810.75,-0.018009297299730997,811.75,1623.5
2020-08-26,21710.650390625,-0.004589462048531168,398.94921875,797.8984375
2020-08-27,21528.0,-0.008412939609762748,293.30078125,586.6015625
2020-08-28,21329.55078125,-0.009218191134801157,548.5,1097.0
2020-08-31,20283.0,-0.04906576758147119,1540.0,3080.0
2020-09-01,20466.599609375,0.009051896138391857,624.94921875,1249.8984375
2020-09-02,20563.599609375,0.0047394292091182955,298.400390625,596.80078125
2020-09-03,20429.0,-0.006545527628034287,598.30078125,1196.6015625
2020-09-04,20025.30078125,-0.01976108565030099,550.0,1100.0
2020-09-07,19782.94921875,-0.012102268282877304,483.099609375,966.19921875
2020-09-08,19355.849609375,-0.021589278962016456,926.900390625,1853.80078125
2020-09-09,19401.5,0.0023584803326270887,497.94921875,995.8984375
2020-09-10,19643.349609375,0.012465510881890518,431.0,862.0
2020-09-11,19502.5,-0.00717034580027931,370.400390625,740.80078125
2020-09-14,19789.5,0.01471606204332776,485.0,970.0
2020-09-15,20065.25,0.013934157002450709,547.900390625,1095.80078125
2020-09-16,20387.849609375,0.016077527535166558,546.400390625,1092.80078125
2020-09-17,19888.400390625,-0.02449739567042597,579.05078125,1158.1015625
2020-09-18,19520.94921875,-0.01847565237313953,709.05078125,1418.1015625
2020-09-21,18903.69921875,-0.03161987632277263,892.349609375,1784.69921875
2020-09-22,18982.44921875,0.004165851301838774,763.19921875,1526.3984375
2020-09-23,18951.849609375,-0.0016119947970030246,578.5,1157.0
2020-09-24,18341.94921875,-0.03218157610976913,663.349609375,1326.69921875
2020-09-25,19008.44921875,0.03633746839287255,785.44921875,1570.8984375
2020-09-28,19533.150390625,0.027603575959128435,575.0,1150.0
2020-09-29,19834.650390625,0.015435298145490384,618.599609375,1237.19921875
2020-09-30,20256.94921875,0.021290964035574955,873.150390625,1746.30078125
2020-10-01,20611.0,0.017477991252615954,334.94921875,669.8984375
2020-10-05,20131.80078125,-0.02324968311823783,719.05078125,1438.1015625
2020-10-06,20296.94921875,0.008203361402911113,445.44921875,890.8984375
2020-10-07,20712.5,0.020473558699458216,702.05078125,1404.1015625
2020-10-08,20735.55078125,0.0011128922751961756,360.0,720.0
2020-10-09,21198.5,0.022326352631472757,563.5,1127.0
2020-10-12,20956.099609375,-0.011434789755171315,552.8984375,1105.796875
2020-10-13,21088.0,0.0062941288256710415,850.0,1700.0
2020-10-14,21135.900390625,0.002271452514463146,668.599609375,1337.19921875
2020-10-15,20642.25,-0.023356014245977552,754.80078125,1509.6015625
2020-10-16,21177.44921875,0.02592736832225162,674.55078125,1349.1015625
2020-10-19,21102.25,-0.0035509101201584015,377.900390625,755.80078125
2020-10-20,21184.80078125,0.00391194215071855,449.900390625,899.80078125
2020-10-21,21147.5,-0.0017607331612489174,746.798828125,1493.59765625
2020-10-22,20991.69921875,-0.007367338042321814,388.30078125,776.6015625
2020-10-23,20521.150390625,-0.022415947523900304,1015.25,2030.5
2020-10-26,20424.69921875,-0.004700086010726912,696.650390625,1393.30078125
2020-10-27,21734.349609375,0.06412091441830059,1675.25,3350.5
2020-10-28,21361.19921875,-0.017168693672988677,556.80078125,1113.6015625
2020-10-29,21677.0,0.014783850757442707,694.8984375,1389.796875
2020-10-30,21694.55078125,0.0008096499169627513,530.05078125,1060.1015625
2020-11-02,21671.349609375,-0.0010694469827442488,386.451171875,772.90234375
2020-11-03,21876.099609375,0.009447957957884778,328.599609375,657.19921875
2020-11-04,21910.349609375,0.0015656355845683478,351.80078125,703.6015625
2020-11-05,22239.400390625,0.015018052523872338,518.150390625,1036.30078125
2020-11-06,22053.05078125,-0.008379255110383066,418.900390625,837.80078125
2020-11-09,22604.69921875,0.0250146087710017,677.6484375,1355.296875
2020-11-10,22762.80078125,0.006994190056236471,600.0,1200.0
2020-11-11,22867.55078125,0.004601806298207611,700.0,1400.0
2020-11-12,23441.599609375,0.025103205569163345,744.0,1488.0
2020-11-13,23435.5,-0.00026020448589869627,439.8984375,879.796875
2020-11-14,23363.25,-0.0030829297433381253,319.55078125,639.1015625
2020-11-17,23989.75,0.026815618546221165,695.0,1390.0
2020-11-18,24069.25,0.0033139153180004044,378.69921875,757.3984375
2020-11-19,23661.650390625,-0.016934454101187213,783.400390625,1566.80078125
2020-11-20,23948.69921875,0.012131395037378034,380.6484375,761.296875
2020-11-23,24465.30078125,0.021571174191187037,611.94921875,1223.8984375
2020-11-24,24243.55078125,-0.009063857500985484,621.75,1243.5
2020-11-25,23698.80078125,-0.022469893330201107,1148.8984375,2297.796875
2020-11-26,24381.150390625,0.02879257966145099,900.0,1800.0
2020-11-27,24306.349609375,-0.0030679758769202037,1178.05078125,2356.1015625
2020-12-01,24908.400390625,0.024769280082180156,1106.099609375,2212.19921875
2020-12-02,24635.69921875,-0.010948160764977843,843.69921875,1687.3984375
2020-12-03,24905.150390625,0.010937427408998612,338.25,676.5
2020-12-04,24912.849609375,0.0003091416285081472,514.69921875,1029.3984375
2020-12-07,24954.150390625,0.0016578104029680851,365.0,730.0
2020-12-08,24775.75,-0.007149127012235357,554.44921875,1108.8984375
2020-12-09,24420.69921875,-0.01433057652139691,598.19921875,1196.3984375
2020-12-10,23758.099609375,-0.02713270424567782,812.548828125,1625.09765625
2020-12-11,23805.0,0.001974080056743821,372.94921875,745.8984375
2020-12-14,23722.19921875,-0.003478293688300771,334.69921875,669.3984375
2020-12-15,24259.650390625,0.022656043266435333,602.80078125,1205.6015625
2020-12-16,24259.099609375,-2.270359387424037e-05,343.201171875,686.40234375
2020-12-17,24510.400390625,0.01035903167456742,584.0,1168.0
2020-12-18,24574.400390625,0.0026111364555463368,430.25,860.5
2020-12-21,23717.5,-0.034869635759328776,1300.849609375,2601.69921875
2020-12-22,23916.69921875,0.008398828660271862,681.19921875,1362.3984375
2020-12-23,23894.400390625,-0.0009323539139346471,409.099609375,818.19921875
2020-12-24,23826.75,-0.0028312236138615665,705.849609375,1411.69921875
2020-12-28,23715.55078125,-0.004666990619786593,538.8984375,1077.796875
2020-12-29,23839.650390625,0.005232836906031935,226.75,453.5
2020-12-30,24599.94921875,0.031892197061077265,951.599609375,1903.19921875
2020-12-31,24013.19921875,-0.023851675252759552,667.75,1335.5
2021-01-01,23950.30078125,-0.0026193276842049196,411.5,823.0
2021-01-04,24034.19921875,0.0035030222904623987,363.0,726.0
2021-01-05,23895.5,-0.005770910754613223,497.94921875,995.8984375
2021-01-06,24824.349609375,0.03887131925990239,1097.400390625,2194.80078125
2021-01-07,25002.150390625,0.007162354061548193,540.150390625,1080.30078125
2021-01-08,25813.400390625,0.03244720903303544,1019.5,2039.0
2021-01-11,25569.30078125,-0.009456313607704825,550.0,1100.0
2021-01-12,25369.099609375,-0.007829747617573046,669.0,1338.0
2021-01-13,24726.400390625,-0.025333938872331707,1032.5,2065.0
2021-01-14,24855.599609375,0.005225152739942951,438.849609375,877.69921875
2021-01-15,24413.80078125,-0.017774619605570252,631.849609375,1263.69921875
2021-01-18,23846.900390625,-0.023220488923641258,790.0,1580.0
2021-01-19,24374.5,0.02212445226560411,685.849609375,1371.69921875
2021-01-20,23979.94921875,-0.01618703075960537,634.349609375,1268.69921875
2021-01-21,23719.0,-0.010881975452473602,697.80078125,1395.6015625
